food_item,category,calories_kcal,protein_,carbohydrates_,fat_,fiber_,sugars_,sodium_(mg),cholesterol_(mg),meal_type,water_intake_(ml),impact_tags,image,timestamp,quantity,enhanced_tags
Pecans (1 oz),Nut,196.0,2.6,3.9,20.4,2.7,1.1,0.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'pcosFriendly', 'lowCarb']",,,,"['lowProtein', 'wholeFood', 'pcosFriendly', 'lowCarb']"
Fruit Cocktail (canned 1 cup),Fruit,110.0,1.0,28.0,0.0,2.0,26.0,10.0,0.0,Snack,0.0,"['lowProtein', 'pcosTrigger', 'lowFibre', 'sugary', 'wholeFood']",,,,"['lowProtein', 'pcosTrigger', 'lowFibre', 'sugary', 'wholeFood']"
Ramen (Instant 1 pack),Meal/Processed,380.0,9.0,53.0,14.0,2.0,2.0,1580.0,0.0,Lunch,500.0,"['wholeFood', 'highCarb', 'lowFibre', 'pcosFriendly']",,,,"['wholeFood', 'highCarb', 'lowFibre', 'pcosFriendly']"
Mocha Latte (16oz),Beverage,360.0,12.0,48.0,15.0,2.0,42.0,150.0,45.0,Snack,473.0,"['pcosTrigger', 'highCarb', 'lowFibre', 'sugary', 'wholeFood']",,,,"['pcosTrigger', 'highCarb', 'lowFibre', 'sugary', 'wholeFood']"
Cucumber Slices (1 cup),Vegetable,16.0,0.7,3.6,0.1,0.5,1.7,2.0,0.0,Snack,0.0,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Feta Cheese (1 oz),Dairy,75.0,4.0,1.2,6.1,0.0,0.7,316.0,25.0,Lunch,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'dairySensitive', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'dairySensitive', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Olives (Kalamata 5 large),Fruit,35.0,0.2,1.0,3.5,0.5,0.0,210.0,0.0,Lunch,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Chicken Alfredo (1.5 cups),Meal/Pasta,680.0,35.0,45.0,38.0,4.0,5.0,980.0,120.0,Dinner,250.0,"['highProtein', 'highCarb', 'gutFriendly', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'highCarb', 'gutFriendly', 'wholeFood', 'pcosFriendly']"
Breadstick (1 large),Grain,160.0,4.0,28.0,3.0,1.0,2.0,350.0,0.0,Dinner,0.0,"['lowProtein', 'lowFibre', 'wholeFood', 'processed', 'glutenSensitive', 'pcosFriendly']",,,,"['lowProtein', 'lowFibre', 'processed', 'glutenSensitive', 'pcosFriendly']"
Cobb Salad,Meal/Protein,510.0,30.0,12.0,38.0,7.0,6.0,800.0,210.0,Lunch,500.0,"['lowGlycemic', 'highProtein', 'highFibre', 'gutFriendly', 'wholeFood', 'pcosFriendly']",,,,"['lowGlycemic', 'highProtein', 'highFibre', 'gutFriendly', 'wholeFood', 'pcosFriendly']"
Blue Cheese Dressing (2 tbsp),Condiment,150.0,1.0,2.0,16.0,0.0,1.0,320.0,10.0,Lunch,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'dairySensitive', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'dairySensitive', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Mandarin Orange (1 medium),Fruit,37.0,0.6,9.3,0.2,1.3,7.3,1.0,0.0,Snack,0.0,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Cashews (1 oz roasted),Nut,163.0,4.3,9.2,13.1,0.9,1.4,140.0,0.0,Snack,0.0,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Eggo Waffle (2 waffles),Grain/Processed,180.0,4.0,30.0,5.0,1.0,4.0,400.0,0.0,Breakfast,0.0,"['highProtein', 'lowProtein', 'highCarb', 'lowFibre', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'wholeFood', 'pcosFriendly']"
Diet Soda (1 can),Beverage,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,Lunch,355.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Pulled Pork Sandwich,Meal/Meat,480.0,25.0,48.0,20.0,3.0,15.0,900.0,75.0,Lunch,250.0,"['highProtein', 'pcosTrigger', 'highCarb', 'sugary', 'wholeFood']",,,,"['highProtein', 'pcosTrigger', 'highCarb', 'sugary', 'wholeFood']"
Macadamia Nuts (1 oz),Nut,204.0,2.2,3.9,21.5,2.4,1.3,1.0,0.0,Snack,0.0,"['lowGlycemic', 'lowProtein', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowGlycemic', 'lowProtein', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Crab Cakes (2 medium),Meal/Seafood,340.0,20.0,18.0,20.0,1.0,2.0,700.0,120.0,Dinner,250.0,"['highProtein', 'wholeFood', 'lowFibre', 'pcosFriendly']",,,,"['highProtein', 'wholeFood', 'lowFibre', 'pcosFriendly']"
Tartar Sauce (2 tbsp),Condiment,60.0,0.2,2.0,5.5,0.1,1.5,180.0,5.0,Dinner,0.0,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Lemon Bar (1 square),Dessert,150.0,1.5,22.0,6.0,0.5,15.0,80.0,30.0,Snack,0.0,"['lowProtein', 'pcosTrigger', 'lowFibre', 'sugary', 'wholeFood']",,,,"['lowProtein', 'pcosTrigger', 'lowFibre', 'sugary', 'wholeFood']"
Almond Milk (Unsweetened 1 cup),Beverage/Dairy-Alt,30.0,1.0,1.0,2.5,1.0,0.0,160.0,0.0,Breakfast,240.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'dairySensitive', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'dairySensitive', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Rice Krispies (1.5 cups),Grain,160.0,3.0,37.0,0.5,0.5,4.0,290.0,0.0,Breakfast,0.0,"['lowProtein', 'pcosTrigger', 'high_glycemic', 'highCarb', 'lowFibre', 'highGlycemic', 'wholeFood']",,,,"['lowProtein', 'pcosTrigger', 'highCarb', 'lowFibre', 'highGlycemic', 'wholeFood']"
Sugar (1 tsp for cereal),Condiment,16.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,Breakfast,0.0,"['lowProtein', 'proInflammatory', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'proInflammatory', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Tuna (Canned 3oz in water),Protein/Fish,90.0,20.0,0.0,1.0,0.0,0.0,250.0,35.0,Lunch,0.0,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Mayonnaise (1 tbsp),Condiment,90.0,0.1,0.1,10.0,0.0,0.1,70.0,5.0,Lunch,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Pickle (1 spear dill),Vegetable,5.0,0.2,1.0,0.1,0.3,0.5,300.0,0.0,Lunch,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Lobster Bisque (1 cup),Meal/Seafood,250.0,8.0,12.0,18.0,1.0,3.0,850.0,50.0,Lunch,250.0,"['wholeFood', 'lowFibre', 'pcosFriendly']",,,,"['wholeFood', 'lowFibre', 'pcosFriendly']"
Reuben Sandwich,Meal/Processed,650.0,28.0,35.0,40.0,5.0,6.0,1500.0,100.0,Lunch,500.0,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'wholeFood', 'pcosFriendly']"
Sauerkraut (1/4 cup side),Vegetable,7.0,0.3,1.5,0.0,1.0,0.6,234.0,0.0,Lunch,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Mushroom (White 1 cup sliced),Vegetable,15.0,2.2,2.3,0.2,0.7,1.4,4.0,0.0,Dinner,0.0,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Soy Milk (Original 1 cup),Beverage/Dairy-Alt,110.0,8.0,9.0,4.5,2.0,6.0,125.0,0.0,Breakfast,240.0,"['soySensitive', 'estrogenBoosting', 'lowFibre', 'dairySensitive', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['soySensitive', 'estrogenBoosting', 'lowFibre', 'dairySensitive', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Chicken Tikka Masala (1.5 cups),Meal/Meat,480.0,30.0,20.0,30.0,5.0,8.0,900.0,95.0,Dinner,250.0,"['highProtein', 'highFibre', 'gutFriendly', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'highFibre', 'gutFriendly', 'wholeFood', 'pcosFriendly']"
Naan Bread (1 piece),Grain,260.0,8.0,45.0,5.0,2.0,3.0,450.0,10.0,Dinner,0.0,"['highCarb', 'lowFibre', 'wholeFood', 'processed', 'glutenSensitive', 'pcosFriendly']",,,,"['highCarb', 'lowFibre', 'processed', 'glutenSensitive', 'pcosFriendly']"
Cucumber Salad (1/2 cup),Vegetable,40.0,1.0,5.0,2.0,1.0,4.0,200.0,0.0,Dinner,0.0,"['lowGlycemic', 'lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowGlycemic', 'lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Vodka Soda (1 drink),Beverage,100.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,Snack,180.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Chocolate Croissant,Dessert,350.0,6.0,40.0,19.0,3.0,15.0,300.0,40.0,Breakfast,250.0,"['pcosTrigger', 'chocolate', 'highCarb', 'sugary', 'wholeFood']",,,,"['pcosTrigger', 'chocolate', 'highCarb', 'sugary', 'wholeFood']"
Sweet & Sour Chicken (1 cup),Meal/Processed,380.0,18.0,45.0,15.0,3.0,25.0,750.0,50.0,Dinner,0.0,"['highProtein', 'pcosTrigger', 'highCarb', 'sugary', 'wholeFood']",,,,"['highProtein', 'pcosTrigger', 'highCarb', 'sugary', 'wholeFood']"
Egg Drop Soup (1 cup),Meal/Vegetable,65.0,5.0,6.0,2.0,0.5,1.0,780.0,50.0,Dinner,0.0,"['highProtein', 'noAddedSugar', 'lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
String Cheese (1 stick),Dairy,80.0,6.0,1.0,6.0,0.0,0.0,210.0,20.0,Snack,0.0,"['noAddedSugar', 'lowFibre', 'dairySensitive', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['noAddedSugar', 'lowFibre', 'dairySensitive', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Turkey Burger (1 patty),Protein/Meat,160.0,22.0,2.0,8.0,0.0,1.0,400.0,70.0,Lunch,250.0,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Potato Salad (1/2 cup),Meal/Vegetable,180.0,2.0,19.0,11.0,2.0,3.0,500.0,10.0,Lunch,0.0,"['lowGlycemic', 'lowProtein', 'pcosTrigger', 'lowFibre', 'highGlycemic', 'wholeFood']",,,,"['lowGlycemic', 'lowProtein', 'pcosTrigger', 'lowFibre', 'highGlycemic', 'wholeFood']"
Cranberry Juice (1 cup),Beverage,130.0,0.0,33.0,0.0,0.0,30.0,10.0,0.0,Breakfast,240.0,"['lowProtein', 'pcosTrigger', 'highCarb', 'lowFibre', 'sugary', 'wholeFood']",,,,"['lowProtein', 'pcosTrigger', 'highCarb', 'lowFibre', 'sugary', 'wholeFood']"
Chicken Piccata (1 serving),Meal/Meat,350.0,30.0,10.0,20.0,1.0,2.0,600.0,90.0,Dinner,250.0,"['highProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Angel Hair Pasta (1 cup),Grain,200.0,7.0,42.0,1.0,2.0,1.0,1.0,0.0,Dinner,0.0,"['noAddedSugar', 'highCarb', 'lowFibre', 'wholeFood', 'pcosFriendly']",,,,"['noAddedSugar', 'highCarb', 'lowFibre', 'wholeFood', 'pcosFriendly']"
Olive Oil (1 tbsp),Condiment,120.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'antiInflammatory', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'antiInflammatory', 'wholeFood', 'pcosFriendly']"
Garlic (1 clove),Vegetable,4.0,0.2,0.9,0.0,0.1,0.0,1.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Salami (3 slices),Protein/Processed,110.0,6.0,1.0,9.0,0.0,0.5,500.0,30.0,Snack,0.0,"['noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Provolone Cheese (1 slice),Dairy,100.0,7.0,1.0,8.0,0.0,0.5,250.0,20.0,Snack,0.0,"['noAddedSugar', 'lowFibre', 'dairySensitive', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['noAddedSugar', 'lowFibre', 'dairySensitive', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Ginger Ale (1 can),Beverage,124.0,0.0,32.0,0.0,0.0,31.0,40.0,0.0,Snack,355.0,"['lowProtein', 'pcosTrigger', 'highCarb', 'lowFibre', 'sugary', 'antiInflammatory', 'wholeFood']",,,,"['lowProtein', 'pcosTrigger', 'highCarb', 'lowFibre', 'sugary', 'antiInflammatory', 'wholeFood']"
Shrimp Scampi (1 cup),Meal/Seafood,380.0,22.0,40.0,15.0,3.0,3.0,750.0,140.0,Dinner,0.0,"['highProtein', 'wholeFood', 'highCarb', 'pcosFriendly']",,,,"['highProtein', 'wholeFood', 'highCarb', 'pcosFriendly']"
Tiramisu (1 slice),Dessert,450.0,7.0,42.0,28.0,2.0,25.0,150.0,180.0,Snack,250.0,"['pcosTrigger', 'highCarb', 'lowFibre', 'sugary', 'wholeFood']",,,,"['pcosTrigger', 'highCarb', 'lowFibre', 'sugary', 'wholeFood']"
Cereal Bar (Fruit),Snack/Processed,140.0,2.0,30.0,3.0,1.0,15.0,110.0,0.0,Breakfast,250.0,"['lowProtein', 'pcosTrigger', 'highCarb', 'lowFibre', 'sugary', 'wholeFood']",,,,"['lowProtein', 'pcosTrigger', 'highCarb', 'lowFibre', 'sugary', 'wholeFood']"
Veal Parmesan (1 serving),Meal/Meat,550.0,40.0,30.0,30.0,4.0,7.0,1100.0,130.0,Dinner,250.0,"['highProtein', 'highCarb', 'gutFriendly', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'highCarb', 'gutFriendly', 'wholeFood', 'pcosFriendly']"
Spaghetti (side),Grain,100.0,3.5,21.0,0.5,1.0,0.5,0.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'wholeFood', 'pcosFriendly']"
Hot Chocolate (1 cup),Beverage,200.0,3.0,30.0,8.0,2.0,25.0,160.0,10.0,Snack,240.0,"['lowProtein', 'pcosTrigger', 'chocolate', 'highCarb', 'lowFibre', 'sugary', 'wholeFood']",,,,"['lowProtein', 'pcosTrigger', 'chocolate', 'highCarb', 'lowFibre', 'sugary', 'wholeFood']"
Coconut Shrimp (5 pcs),Meal/Seafood,320.0,10.0,25.0,20.0,3.0,8.0,600.0,80.0,Dinner,0.0,"['wholeFood', 'pcosFriendly']",,,,"['wholeFood', 'pcosFriendly']"
Sweet Chili Sauce (2 tbsp),Condiment,70.0,0.0,17.0,0.0,0.5,16.0,450.0,0.0,Dinner,0.0,"['lowProtein', 'pcosTrigger', 'lowFibre', 'sugary', 'wholeFood']",,,,"['lowProtein', 'pcosTrigger', 'lowFibre', 'sugary', 'wholeFood']"
White Wine (5 oz glass),Beverage,121.0,0.1,3.8,0.0,0.0,1.4,5.0,0.0,Dinner,0.0,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Trail Mix (1/4 cup),Snack/Processed,190.0,5.0,20.0,12.0,3.0,14.0,50.0,0.0,Snack,250.0,"['sugary', 'lowProtein', 'wholeFood', 'pcosTrigger']",,,,"['sugary', 'lowProtein', 'wholeFood', 'pcosTrigger']"
Onion Rings (6 rings),Snack/Processed,280.0,4.0,30.0,16.0,3.0,4.0,500.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'highCarb', 'pcosFriendly']",,,,"['lowProtein', 'wholeFood', 'highCarb', 'pcosFriendly']"
Poached Egg (1 large),Protein,72.0,6.3,0.4,4.8,0.0,0.4,140.0,185.0,Breakfast,0.0,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Canadian Bacon (2 slices),Protein/Meat,80.0,12.0,1.0,3.0,0.0,1.0,650.0,40.0,Breakfast,0.0,"['noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Eggs Benedict (1 serving),Meal/Protein,600.0,25.0,30.0,40.0,3.0,4.0,1100.0,450.0,Breakfast,250.0,"['highProtein', 'wholeFood', 'highCarb', 'pcosFriendly']",,,,"['highProtein', 'wholeFood', 'highCarb', 'pcosFriendly']"
Hollandaise Sauce (2 tbsp),Condiment,110.0,1.0,0.5,12.0,0.0,0.2,150.0,50.0,Breakfast,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Spinach Artichoke Dip (1/4 cup),Snack/Processed,160.0,5.0,6.0,14.0,2.0,2.0,350.0,30.0,Snack,0.0,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Tortilla Chips (1 oz),Snack/Processed,140.0,2.0,19.0,7.0,2.0,0.5,120.0,0.0,Snack,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'wholeFood', 'pcosFriendly', 'ultraProcessed']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'pcosFriendly', 'ultraProcessed']"
Chicken Kebab (2 skewers),Meal/Meat,280.0,30.0,8.0,14.0,3.0,4.0,500.0,85.0,Dinner,250.0,"['highProtein', 'wholeFood', 'pcosFriendly', 'lowCarb']",,,,"['highProtein', 'wholeFood', 'pcosFriendly', 'lowCarb']"
Bell Peppers & Onions (sautéed),Vegetable,60.0,1.5,10.0,2.0,3.0,6.0,30.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'pcosFriendly', 'lowCarb']",,,,"['lowProtein', 'wholeFood', 'pcosFriendly', 'lowCarb']"
Hummus Wrap (large),Meal/Vegetarian,450.0,15.0,60.0,18.0,12.0,5.0,800.0,0.0,Lunch,500.0,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'wholeFood', 'pcosFriendly']"
Kombucha (1 cup),Beverage,30.0,0.0,7.0,0.0,0.0,6.0,10.0,0.0,Snack,240.0,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Beef Stroganoff (1.5 cups),Meal/Pasta,550.0,30.0,40.0,28.0,4.0,6.0,900.0,100.0,Dinner,0.0,"['highProtein', 'highCarb', 'gutFriendly', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'highCarb', 'gutFriendly', 'wholeFood', 'pcosFriendly']"
Egg Noodles (1 cup cooked),Grain,220.0,8.0,40.0,3.0,2.0,2.0,20.0,50.0,Dinner,0.0,"['highProtein', 'highCarb', 'lowFibre', 'pcosFriendly', 'ultraProcessed']",,,,"['ultraProcessed', 'highCarb', 'lowFibre', 'pcosFriendly']"
Cottage Cheese (1 cup low fat),Dairy,160.0,28.0,6.0,2.5,0.0,4.0,820.0,10.0,Lunch,250.0,"['highProtein', 'lowFibre', 'dairySensitive', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'lowFibre', 'dairySensitive', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Tomato (1 medium sliced),Vegetable,22.0,1.1,4.8,0.2,1.5,3.2,6.0,0.0,Lunch,0.0,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Black Pepper (1 tsp),Condiment,6.0,0.2,1.5,0.1,0.6,0.0,0.0,0.0,Lunch,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Chocolate Pudding (1/2 cup),Dessert,150.0,2.0,28.0,4.0,2.0,22.0,130.0,2.0,Snack,0.0,"['lowProtein', 'pcosTrigger', 'chocolate', 'lowFibre', 'sugary', 'wholeFood']",,,,"['lowProtein', 'pcosTrigger', 'chocolate', 'lowFibre', 'sugary', 'wholeFood']"
Mackerel (3oz cooked),Protein/Fish,175.0,16.0,0.0,12.0,0.0,0.0,75.0,65.0,Dinner,0.0,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Collard Greens (1 cup cooked),Vegetable,60.0,5.0,10.0,1.0,7.0,1.0,40.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'highFibre', 'lowCarb', 'gutFriendly', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'highFibre', 'lowCarb', 'gutFriendly', 'wholeFood', 'pcosFriendly']"
Ham (3oz deli sliced),Protein/Meat,110.0,16.0,2.0,4.0,0.0,1.5,950.0,45.0,Lunch,0.0,"['highProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Swiss Cheese (1 slice),Dairy,106.0,7.6,1.0,8.0,0.0,0.4,54.0,26.0,Lunch,0.0,"['noAddedSugar', 'lowFibre', 'dairySensitive', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['noAddedSugar', 'lowFibre', 'dairySensitive', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Rye Bread (1 slice),Grain,83.0,2.7,15.5,1.1,1.9,1.2,170.0,0.0,Lunch,0.0,"['lowProtein', 'lowFibre', 'wholeFood', 'processed', 'glutenSensitive', 'pcosFriendly']",,,,"['lowProtein', 'lowFibre', 'processed', 'glutenSensitive', 'pcosFriendly']"
Potato Leek Soup (1 cup),Meal/Vegetable,180.0,4.0,25.0,7.0,3.0,4.0,650.0,15.0,Lunch,250.0,"['lowProtein', 'wholeFood', 'pcosTrigger', 'highGlycemic']",,,,"['lowProtein', 'wholeFood', 'pcosTrigger', 'highGlycemic']"
Brie Cheese (1 oz),Dairy,95.0,6.0,0.1,7.9,0.0,0.1,178.0,28.0,Snack,0.0,"['noAddedSugar', 'lowFibre', 'dairySensitive', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['noAddedSugar', 'lowFibre', 'dairySensitive', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Water Cracker (5 crackers),Grain/Processed,70.0,1.5,12.0,1.5,0.5,0.0,150.0,0.0,Snack,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'wholeFood', 'pcosFriendly']"
Grapefruit (1/2 medium),Fruit,52.0,1.1,13.2,0.2,2.0,8.5,0.0,0.0,Breakfast,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'pcosFriendly']",,,,"['lowProtein', 'wholeFood', 'lowFibre', 'pcosFriendly']"
Veggie Straws (1 oz),Snack/Processed,130.0,1.0,17.0,7.0,1.0,1.0,220.0,0.0,Snack,0.0,"['highProtein', 'noAddedSugar', 'lowProtein', 'lowFibre', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'wholeFood', 'pcosFriendly']"
Fish Tacos (2 tacos),Meal/Fish,420.0,25.0,40.0,18.0,6.0,5.0,700.0,60.0,Dinner,500.0,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'wholeFood', 'pcosFriendly']"
Cabbage Slaw (side),Vegetable,60.0,1.0,8.0,3.0,2.0,5.0,120.0,5.0,Dinner,0.0,"['lowProtein', 'gasForming', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'gasForming', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
